,Age,Embarked,Survived,Pclass,Sex,SibSp,Parch,Fare
0,22.0,Southampton,0,3,male,1,0,7.25
2,26.0,Southampton,1,3,female,0,0,7.925
3,35.0,Southampton,1,1,female,1,0,53.1
4,35.0,Southampton,0,3,male,0,0,8.05
5,29.69911764705882,Queenstown,0,3,male,0,0,8.4583
6,54.0,Southampton,0,1,male,0,0,51.8625
7,2.0,Southampton,0,3,male,3,1,21.075
8,27.0,Southampton,1,3,female,0,2,11.1333
9,14.0,Cherbourg,1,2,female,1,0,30.0708
10,4.0,Southampton,1,3,female,1,1,16.7
11,58.0,Southampton,1,1,female,0,0,26.55
12,20.0,Southampton,0,3,male,0,0,8.05
13,39.0,Southampton,0,3,male,1,5,31.275
14,14.0,Southampton,0,3,female,0,0,7.8542
15,55.0,Southampton,1,2,female,0,0,16.0
16,2.0,Queenstown,0,3,male,4,1,29.125
17,29.69911764705882,Southampton,1,2,male,0,0,13.0
18,31.0,Southampton,0,3,female,1,0,18.0
19,29.69911764705882,Cherbourg,1,3,female,0,0,7.225
20,35.0,Southampton,0,2,male,0,0,26.0
21,34.0,Southampton,1,2,male,0,0,13.0
22,15.0,Queenstown,1,3,female,0,0,8.0292
23,28.0,Southampton,1,1,male,0,0,35.5
24,8.0,Southampton,0,3,female,3,1,21.075
25,38.0,Southampton,1,3,female,1,5,31.3875
26,29.69911764705882,Cherbourg,0,3,male,0,0,7.225
28,29.69911764705882,Queenstown,1,3,female,0,0,7.8792
29,29.69911764705882,Southampton,0,3,male,0,0,7.8958
30,40.0,Cherbourg,0,1,male,0,0,27.7208
32,29.69911764705882,Queenstown,1,3,female,0,0,7.75
33,66.0,Southampton,0,2,male,0,0,10.5
35,42.0,Southampton,0,1,male,1,0,52.0
36,29.69911764705882,Cherbourg,1,3,male,0,0,7.2292
37,21.0,Southampton,0,3,male,0,0,8.05
38,18.0,Southampton,0,3,female,2,0,18.0
39,14.0,Cherbourg,1,3,female,1,0,11.2417
40,40.0,Southampton,0,3,female,1,0,9.475
41,27.0,Southampton,0,2,female,1,0,21.0
42,29.69911764705882,Cherbourg,0,3,male,0,0,7.8958
43,3.0,Cherbourg,1,2,female,1,2,41.5792
44,19.0,Queenstown,1,3,female,0,0,7.8792
45,29.69911764705882,Southampton,0,3,male,0,0,8.05
46,29.69911764705882,Queenstown,0,3,male,1,0,15.5
47,29.69911764705882,Queenstown,1,3,female,0,0,7.75
48,29.69911764705882,Cherbourg,0,3,male,2,0,21.6792
49,18.0,Southampton,0,3,female,1,0,17.8
50,7.0,Southampton,0,3,male,4,1,39.6875
51,21.0,Southampton,0,3,male,0,0,7.8
53,29.0,Southampton,1,2,female,1,0,26.0
54,65.0,Cherbourg,0,1,male,0,1,61.9792
55,29.69911764705882,Southampton,1,1,male,0,0,35.5
56,21.0,Southampton,1,2,female,0,0,10.5
57,28.5,Cherbourg,0,3,male,0,0,7.2292
58,5.0,Southampton,1,2,female,1,2,27.75
59,11.0,Southampton,0,3,male,5,2,46.9
60,22.0,Cherbourg,0,3,male,0,0,7.2292
63,4.0,Southampton,0,3,male,3,2,27.9
64,29.69911764705882,Cherbourg,0,1,male,0,0,27.7208
65,29.69911764705882,Cherbourg,1,3,male,1,1,15.2458
66,29.0,Southampton,1,2,female,0,0,10.5
67,19.0,Southampton,0,3,male,0,0,8.1583
68,17.0,Southampton,1,3,female,4,2,7.925
69,26.0,Southampton,0,3,male,2,0,8.6625
70,32.0,Southampton,0,2,male,0,0,10.5
71,16.0,Southampton,0,3,female,5,2,46.9
73,26.0,Cherbourg,0,3,male,1,0,14.4542
74,32.0,Southampton,1,3,male,0,0,56.4958
75,25.0,Southampton,0,3,male,0,0,7.65
76,29.69911764705882,Southampton,0,3,male,0,0,7.8958
77,29.69911764705882,Southampton,0,3,male,0,0,8.05
78,0.83,Southampton,1,2,male,0,2,29.0
79,30.0,Southampton,1,3,female,0,0,12.475
80,22.0,Southampton,0,3,male,0,0,9.0
81,29.0,Southampton,1,3,male,0,0,9.5
82,29.69911764705882,Queenstown,1,3,female,0,0,7.7875
83,28.0,Southampton,0,1,male,0,0,47.1
84,17.0,Southampton,1,2,female,0,0,10.5
85,33.0,Southampton,1,3,female,3,0,15.85
86,16.0,Southampton,0,3,male,1,3,34.375
87,29.69911764705882,Southampton,0,3,male,0,0,8.05
89,24.0,Southampton,0,3,male,0,0,8.05
90,29.0,Southampton,0,3,male,0,0,8.05
91,20.0,Southampton,0,3,male,0,0,7.8542
92,46.0,Southampton,0,1,male,1,0,61.175
93,26.0,Southampton,0,3,male,1,2,20.575
94,59.0,Southampton,0,3,male,0,0,7.25
95,29.69911764705882,Southampton,0,3,male,0,0,8.05
96,71.0,Cherbourg,0,1,male,0,0,34.6542
97,23.0,Cherbourg,1,1,male,0,1,63.3583
98,34.0,Southampton,1,2,female,0,1,23.0
99,34.0,Southampton,0,2,male,1,0,26.0
100,28.0,Southampton,0,3,female,0,0,7.8958
101,29.69911764705882,Southampton,0,3,male,0,0,7.8958
103,33.0,Southampton,0,3,male,0,0,8.6542
104,37.0,Southampton,0,3,male,2,0,7.925
105,28.0,Southampton,0,3,male,0,0,7.8958
106,21.0,Southampton,1,3,female,0,0,7.65
107,29.69911764705882,Southampton,1,3,male,0,0,7.775
108,38.0,Southampton,0,3,male,0,0,7.8958
109,29.69911764705882,Queenstown,1,3,female,1,0,24.15
110,47.0,Southampton,0,1,male,0,0,52.0
111,14.5,Cherbourg,0,3,female,1,0,14.4542
112,22.0,Southampton,0,3,male,0,0,8.05
113,20.0,Southampton,0,3,female,1,0,9.825
114,17.0,Cherbourg,0,3,female,0,0,14.4583
115,21.0,Southampton,0,3,male,0,0,7.925
116,70.5,Queenstown,0,3,male,0,0,7.75
117,29.0,Southampton,0,2,male,1,0,21.0
119,2.0,Southampton,0,3,female,4,2,31.275
121,29.69911764705882,Southampton,0,3,male,0,0,8.05
122,32.5,Cherbourg,0,2,male,1,0,30.0708
123,32.5,Southampton,1,2,female,0,0,13.0
125,12.0,Cherbourg,1,3,male,1,0,11.2417
126,29.69911764705882,Queenstown,0,3,male,0,0,7.75
127,24.0,Southampton,1,3,male,0,0,7.1417
128,29.69911764705882,Cherbourg,1,3,female,1,1,22.3583
129,45.0,Southampton,0,3,male,0,0,6.975
130,33.0,Cherbourg,0,3,male,0,0,7.8958
131,20.0,Southampton,0,3,male,0,0,7.05
132,47.0,Southampton,0,3,female,1,0,14.5
133,29.0,Southampton,1,2,female,1,0,26.0
134,25.0,Southampton,0,2,male,0,0,13.0
135,23.0,Cherbourg,0,2,male,0,0,15.0458
136,19.0,Southampton,1,1,female,0,2,26.2833
137,37.0,Southampton,0,1,male,1,0,53.1
138,16.0,Southampton,0,3,male,0,0,9.2167
140,29.69911764705882,Cherbourg,0,3,female,0,2,15.2458
141,22.0,Southampton,1,3,female,0,0,7.75
142,24.0,Southampton,1,3,female,1,0,15.85
143,19.0,Queenstown,0,3,male,0,0,6.75
144,18.0,Southampton,0,2,male,0,0,11.5
145,19.0,Southampton,0,2,male,1,1,36.75
146,27.0,Southampton,1,3,male,0,0,7.7958
147,9.0,Southampton,0,3,female,2,2,34.375
148,36.5,Southampton,0,2,male,0,2,26.0
149,42.0,Southampton,0,2,male,0,0,13.0
150,51.0,Southampton,0,2,male,0,0,12.525
152,55.5,Southampton,0,3,male,0,0,8.05
153,40.5,Southampton,0,3,male,0,2,14.5
154,29.69911764705882,Southampton,0,3,male,0,0,7.3125
155,51.0,Cherbourg,0,1,male,0,1,61.3792
156,16.0,Queenstown,1,3,female,0,0,7.7333
157,30.0,Southampton,0,3,male,0,0,8.05
158,29.69911764705882,Southampton,0,3,male,0,0,8.6625
160,44.0,Southampton,0,3,male,0,1,16.1
161,40.0,Southampton,1,2,female,0,0,15.75
162,26.0,Southampton,0,3,male,0,0,7.775
163,17.0,Southampton,0,3,male,0,0,8.6625
164,1.0,Southampton,0,3,male,4,1,39.6875
165,9.0,Southampton,1,3,male,0,2,20.525
166,29.69911764705882,Southampton,1,1,female,0,1,55.0
167,45.0,Southampton,0,3,female,1,4,27.9
168,29.69911764705882,Southampton,0,1,male,0,0,25.925
169,28.0,Southampton,0,3,male,0,0,56.4958
170,61.0,Southampton,0,1,male,0,0,33.5
171,4.0,Queenstown,0,3,male,4,1,29.125
172,1.0,Southampton,1,3,female,1,1,11.1333
173,21.0,Southampton,0,3,male,0,0,7.925
174,56.0,Cherbourg,0,1,male,0,0,30.6958
175,18.0,Southampton,0,3,male,1,1,7.8542
176,29.69911764705882,Southampton,0,3,male,3,1,25.4667
177,50.0,Cherbourg,0,1,female,0,0,28.7125
178,30.0,Southampton,0,2,male,0,0,13.0
179,36.0,Southampton,0,3,male,0,0,0.0
181,29.69911764705882,Cherbourg,0,2,male,0,0,15.05
182,9.0,Southampton,0,3,male,4,2,31.3875
183,1.0,Southampton,1,2,male,2,1,39.0
184,4.0,Southampton,1,3,female,0,2,22.025
185,29.69911764705882,Southampton,0,1,male,0,0,50.0
186,29.69911764705882,Queenstown,1,3,female,1,0,15.5
187,45.0,Southampton,1,1,male,0,0,26.55
188,40.0,Queenstown,0,3,male,1,1,15.5
189,36.0,Southampton,0,3,male,0,0,7.8958
190,32.0,Southampton,1,2,female,0,0,13.0
191,19.0,Southampton,0,2,male,0,0,13.0
192,19.0,Southampton,1,3,female,1,0,7.8542
193,3.0,Southampton,1,2,male,1,1,26.0
194,44.0,Cherbourg,1,1,female,0,0,27.7208
196,29.69911764705882,Queenstown,0,3,male,0,0,7.75
197,42.0,Southampton,0,3,male,0,1,8.4042
198,29.69911764705882,Queenstown,1,3,female,0,0,7.75
199,24.0,Southampton,0,2,female,0,0,13.0
200,28.0,Southampton,0,3,male,0,0,9.5
202,34.0,Southampton,0,3,male,0,0,6.4958
203,45.5,Cherbourg,0,3,male,0,0,7.225
204,18.0,Southampton,1,3,male,0,0,8.05
205,2.0,Southampton,0,3,female,0,1,10.4625
206,32.0,Southampton,0,3,male,1,0,15.85
207,26.0,Cherbourg,1,3,male,0,0,18.7875
208,16.0,Queenstown,1,3,female,0,0,7.75
209,40.0,Cherbourg,1,1,male,0,0,31.0
210,24.0,Southampton,0,3,male,0,0,7.05
211,35.0,Southampton,1,2,female,0,0,21.0
212,22.0,Southampton,0,3,male,0,0,7.25
213,30.0,Southampton,0,2,male,0,0,13.0
214,29.69911764705882,Queenstown,0,3,male,1,0,7.75
216,27.0,Southampton,1,3,female,0,0,7.925
217,42.0,Southampton,0,2,male,1,0,27.0
219,30.0,Southampton,0,2,male,0,0,10.5
220,16.0,Southampton,1,3,male,0,0,8.05
221,27.0,Southampton,0,2,male,0,0,13.0
222,51.0,Southampton,0,3,male,0,0,8.05
223,29.69911764705882,Southampton,0,3,male,0,0,7.8958
225,22.0,Southampton,0,3,male,0,0,9.35
226,19.0,Southampton,1,2,male,0,0,10.5
227,20.5,Southampton,0,3,male,0,0,7.25
228,18.0,Southampton,0,2,male,0,0,13.0
229,29.69911764705882,Southampton,0,3,female,3,1,25.4667
231,29.0,Southampton,0,3,male,0,0,7.775
232,59.0,Southampton,0,2,male,0,0,13.5
233,5.0,Southampton,1,3,female,4,2,31.3875
234,24.0,Southampton,0,2,male,0,0,10.5
235,29.69911764705882,Southampton,0,3,female,0,0,7.55
236,44.0,Southampton,0,2,male,1,0,26.0
237,8.0,Southampton,1,2,female,0,2,26.25
238,19.0,Southampton,0,2,male,0,0,10.5
239,33.0,Southampton,0,2,male,0,0,12.275
240,29.69911764705882,Cherbourg,0,3,female,1,0,14.4542
241,29.69911764705882,Queenstown,1,3,female,1,0,15.5
242,29.0,Southampton,0,2,male,0,0,10.5
243,22.0,Southampton,0,3,male,0,0,7.125
244,30.0,Cherbourg,0,3,male,0,0,7.225
246,25.0,Southampton,0,3,female,0,0,7.775
247,24.0,Southampton,1,2,female,0,2,14.5
248,37.0,Southampton,1,1,male,1,1,52.5542
249,54.0,Southampton,0,2,male,1,0,26.0
250,29.69911764705882,Southampton,0,3,male,0,0,7.25
251,29.0,Southampton,0,3,female,1,1,10.4625
252,62.0,Southampton,0,1,male,0,0,26.55
253,30.0,Southampton,0,3,male,1,0,16.1
254,41.0,Southampton,0,3,female,0,2,20.2125
255,29.0,Cherbourg,1,3,female,0,2,15.2458
259,50.0,Southampton,1,2,female,0,1,26.0
260,29.69911764705882,Queenstown,0,3,male,0,0,7.75
261,3.0,Southampton,1,3,male,4,2,31.3875
263,40.0,Southampton,0,1,male,0,0,0.0
264,29.69911764705882,Queenstown,0,3,female,0,0,7.75
265,36.0,Southampton,0,2,male,0,0,10.5
266,16.0,Southampton,0,3,male,4,1,39.6875
267,25.0,Southampton,1,3,male,1,0,7.775
270,29.69911764705882,Southampton,0,1,male,0,0,31.0
271,25.0,Southampton,1,3,male,0,0,0.0
272,41.0,Southampton,1,2,female,0,1,19.5
273,37.0,Cherbourg,0,1,male,0,1,29.7
274,29.69911764705882,Queenstown,1,3,female,0,0,7.75
276,45.0,Southampton,0,3,female,0,0,7.75
277,29.69911764705882,Southampton,0,2,male,0,0,0.0
278,7.0,Queenstown,0,3,male,4,1,29.125
279,35.0,Southampton,1,3,female,1,1,20.25
280,65.0,Queenstown,0,3,male,0,0,7.75
281,28.0,Southampton,0,3,male,0,0,7.8542
282,16.0,Southampton,0,3,male,0,0,9.5
283,19.0,Southampton,1,3,male,0,0,8.05
284,29.69911764705882,Southampton,0,1,male,0,0,26.0
285,33.0,Cherbourg,0,3,male,0,0,8.6625
286,30.0,Southampton,1,3,male,0,0,9.5
287,22.0,Southampton,0,3,male,0,0,7.8958
288,42.0,Southampton,1,2,male,0,0,13.0
289,22.0,Queenstown,1,3,female,0,0,7.75
292,36.0,Cherbourg,0,2,male,0,0,12.875
293,24.0,Southampton,0,3,female,0,0,8.85
294,24.0,Southampton,0,3,male,0,0,7.8958
295,29.69911764705882,Cherbourg,0,1,male,0,0,27.7208
296,23.5,Cherbourg,0,3,male,0,0,7.2292
298,29.69911764705882,Southampton,1,1,male,0,0,30.5
300,29.69911764705882,Queenstown,1,3,female,0,0,7.75
301,29.69911764705882,Queenstown,1,3,male,2,0,23.25
302,19.0,Southampton,0,3,male,0,0,0.0
303,29.69911764705882,Queenstown,1,2,female,0,0,12.35
304,29.69911764705882,Southampton,0,3,male,0,0,8.05
308,30.0,Cherbourg,0,2,male,1,0,24.0
309,30.0,Cherbourg,1,1,female,0,0,56.9292
312,26.0,Southampton,0,2,female,1,1,26.0
313,28.0,Southampton,0,3,male,0,0,7.8958
314,43.0,Southampton,0,2,male,1,1,26.25
315,26.0,Southampton,1,3,female,0,0,7.8542
316,24.0,Southampton,1,2,female,1,0,26.0
317,54.0,Southampton,0,2,male,0,0,14.0
320,22.0,Southampton,0,3,male,0,0,7.25
321,27.0,Southampton,0,3,male,0,0,7.8958
322,30.0,Queenstown,1,2,female,0,0,12.35
323,22.0,Southampton,1,2,female,1,1,29.0
326,61.0,Southampton,0,3,male,0,0,6.2375
327,36.0,Southampton,1,2,female,0,0,13.0
328,31.0,Southampton,1,3,female,1,1,20.525
329,16.0,Cherbourg,1,1,female,0,1,57.9792
330,29.69911764705882,Queenstown,1,3,female,2,0,23.25
331,45.5,Southampton,0,1,male,0,0,28.5
333,16.0,Southampton,0,3,male,2,0,18.0
335,29.69911764705882,Southampton,0,3,male,0,0,7.8958
338,45.0,Southampton,1,3,male,0,0,8.05
339,45.0,Southampton,0,1,male,0,0,35.5
340,2.0,Southampton,1,2,male,1,1,26.0
342,28.0,Southampton,0,2,male,0,0,13.0
343,25.0,Southampton,0,2,male,0,0,13.0
344,36.0,Southampton,0,2,male,0,0,13.0
345,24.0,Southampton,1,2,female,0,0,13.0
346,40.0,Southampton,1,2,female,0,0,13.0
347,29.69911764705882,Southampton,1,3,female,1,0,16.1
348,3.0,Southampton,1,3,male,1,1,15.9
349,42.0,Southampton,0,3,male,0,0,8.6625
350,23.0,Southampton,0,3,male,0,0,9.225
351,29.69911764705882,Southampton,0,1,male,0,0,35.0
352,15.0,Cherbourg,0,3,male,1,1,7.2292
353,25.0,Southampton,0,3,male,1,0,17.8
354,29.69911764705882,Cherbourg,0,3,male,0,0,7.225
355,28.0,Southampton,0,3,male,0,0,9.5
356,22.0,Southampton,1,1,female,0,1,55.0
357,38.0,Southampton,0,2,female,0,0,13.0
358,29.69911764705882,Queenstown,1,3,female,0,0,7.8792
359,29.69911764705882,Queenstown,1,3,female,0,0,7.8792
360,40.0,Southampton,0,3,male,1,4,27.9
361,29.0,Cherbourg,0,2,male,1,0,27.7208
362,45.0,Cherbourg,0,3,female,0,1,14.4542
363,35.0,Southampton,0,3,male,0,0,7.05
364,29.69911764705882,Queenstown,0,3,male,1,0,15.5
365,30.0,Southampton,0,3,male,0,0,7.25
367,29.69911764705882,Cherbourg,1,3,female,0,0,7.2292
368,29.69911764705882,Queenstown,1,3,female,0,0,7.75
370,25.0,Cherbourg,1,1,male,1,0,55.4417
371,18.0,Southampton,0,3,male,1,0,6.4958
372,19.0,Southampton,0,3,male,0,0,8.05
374,3.0,Southampton,0,3,female,3,1,21.075
376,22.0,Southampton,1,3,female,0,0,7.25
378,20.0,Cherbourg,0,3,male,0,0,4.0125
379,19.0,Southampton,0,3,male,0,0,7.775
381,1.0,Cherbourg,1,3,female,0,2,15.7417
382,32.0,Southampton,0,3,male,0,0,7.925
383,35.0,Southampton,1,1,female,1,0,52.0
384,29.69911764705882,Southampton,0,3,male,0,0,7.8958
386,1.0,Southampton,0,3,male,5,2,46.9
387,36.0,Southampton,1,2,female,0,0,13.0
388,29.69911764705882,Queenstown,0,3,male,0,0,7.7292
389,17.0,Cherbourg,1,2,female,0,0,12.0
391,21.0,Southampton,1,3,male,0,0,7.7958
392,28.0,Southampton,0,3,male,2,0,7.925
394,24.0,Southampton,1,3,female,0,2,16.7
395,22.0,Southampton,0,3,male,0,0,7.7958
396,31.0,Southampton,0,3,female,0,0,7.8542
397,46.0,Southampton,0,2,male,0,0,26.0
398,23.0,Southampton,0,2,male,0,0,10.5
399,28.0,Southampton,1,2,female,0,0,12.65
400,39.0,Southampton,1,3,male,0,0,7.925
401,26.0,Southampton,0,3,male,0,0,8.05
402,21.0,Southampton,0,3,female,1,0,9.825
403,28.0,Southampton,0,3,male,1,0,15.85
404,20.0,Southampton,0,3,female,0,0,8.6625
405,34.0,Southampton,0,2,male,1,0,21.0
406,51.0,Southampton,0,3,male,0,0,7.75
407,3.0,Southampton,1,2,male,1,1,18.75
408,21.0,Southampton,0,3,male,0,0,7.775
409,29.69911764705882,Southampton,0,3,female,3,1,25.4667
410,29.69911764705882,Southampton,0,3,male,0,0,7.8958
411,29.69911764705882,Queenstown,0,3,male,0,0,6.8583
413,29.69911764705882,Southampton,0,2,male,0,0,0.0
414,44.0,Southampton,1,3,male,0,0,7.925
415,29.69911764705882,Southampton,0,3,female,0,0,8.05
416,34.0,Southampton,1,2,female,1,1,32.5
417,18.0,Southampton,1,2,female,0,2,13.0
418,30.0,Southampton,0,2,male,0,0,13.0
419,10.0,Southampton,0,3,female,0,2,24.15
420,29.69911764705882,Cherbourg,0,3,male,0,0,7.8958
421,21.0,Queenstown,0,3,male,0,0,7.7333
422,29.0,Southampton,0,3,male,0,0,7.875
423,28.0,Southampton,0,3,female,1,1,14.4
424,18.0,Southampton,0,3,male,1,1,20.2125
425,29.69911764705882,Southampton,0,3,male,0,0,7.25
426,28.0,Southampton,1,2,female,1,0,26.0
427,19.0,Southampton,1,2,female,0,0,26.0
428,29.69911764705882,Queenstown,0,3,male,0,0,7.75
429,32.0,Southampton,1,3,male,0,0,8.05
430,28.0,Southampton,1,1,male,0,0,26.55
431,29.69911764705882,Southampton,1,3,female,1,0,16.1
432,42.0,Southampton,1,2,female,1,0,26.0
433,17.0,Southampton,0,3,male,0,0,7.125
434,50.0,Southampton,0,1,male,1,0,55.9
436,21.0,Southampton,0,3,female,2,2,34.375
437,24.0,Southampton,1,2,female,2,3,18.75
439,31.0,Southampton,0,2,male,0,0,10.5
440,45.0,Southampton,1,2,female,1,1,26.25
441,20.0,Southampton,0,3,male,0,0,9.5
442,25.0,Southampton,0,3,male,1,0,7.775
443,28.0,Southampton,1,2,female,0,0,13.0
444,29.69911764705882,Southampton,1,3,male,0,0,8.1125
446,13.0,Southampton,1,2,female,0,1,19.5
447,34.0,Southampton,1,1,male,0,0,26.55
448,5.0,Cherbourg,1,3,female,2,1,19.2583
449,52.0,Southampton,1,1,male,0,0,30.5
